cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABplpapappp:137,ABplpapappp,137,4895,-20104,-139,-57,4895,13.6,313,276,27,154730
ABplpapp:51,ABplpapp,51,5823,-19176,-67,-67,5823,31.9,358,405,45,596145
ABplpappa:70,ABplpappa,70,5100,-19899,-32,-37,5100,14.3,354,352,39,194822
ABplpappaa:95,ABplpappaa,95,4854,-20145,-47,-46,4854,13.6,381,331,37,235104
ABplpappaaa:127,ABplpappaaa,127,4636,-20363,-26,-21,4636,11.6,411,297,31,249713
ABplpappaap:127,ABplpappaap,127,4703,-20296,-22,-26,4703,14.6,361,280,34,139584
ABplpappap:95,ABplpappap,95,4809,-20190,-1,0,4809,13.3,357,317,27,165991
ABplpappp:70,ABplpappp,70,5135,-19864,-32,-25,5135,14.5,301,350,38,225908
ABplpapppa:99,ABplpapppa,99,5943,-19056,805,810,5943,12.8,313,288,32,207240
ABplpapppaa:141,ABplpapppaa,141,6923,-18076,1456,1423,6923,12.9,302,256,28,173072
ABplpapppap:141,ABplpapppap,141,6640,-18359,877,895,6640,12.3,286,217,27,134519
ABplpapppp:99,ABplpapppp,99,5966,-19033,598,625,5966,12.4,273,257,30,155143
ABplpappppa:146,ABplpappppa,146,6671,-18328,780,841,6671,13.0,270,234,26,126914
ABplpappppp:146,ABplpappppp,146,7073,-17926,1198,1239,7073,15.2,233,241,27,179771
ABplpp:18,ABplpp,18,6596,-18403,415,418,6596,44.1,265,368,58,1896884
ABplppa:34,ABplppa,34,6368,-18631,79,76,6368,49.1,308,374,48,1134474
ABplppaa:53,ABplppaa,53,5786,-19213,45,40,5786,37.7,392,391,42,581140
ABplppaaa:77,ABplppaaa,77,5087,-19912,-81,-92,5087,26.0,363,392,37,502472
ABplppaaaa:109,ABplppaaaa,109,4885,-20114,-93,-100,4885,25.6,361,396,33,445113
ABplppaaaaa:145,ABplppaaaaa,145,4833,-20166,6,0,4833,24.2,400,367,28,198332
ABplppaaaap:145,ABplppaaaap,145,4708,-20291,-115,-131,4708,23.4,373,383,28,291750
ABplppaaap:109,ABplppaaap,109,4985,-20015,-18,-33,4985,28.1,351,404,29,369315
ABplppaap:77,ABplppaap,77,5106,-19893,-7,-4,5106,22.3,321,394,37,428801
ABplppaapa:107,ABplppaapa,107,4838,-20161,-26,-19,4838,18.6,336,373,31,330164
ABplppaapaa:156,ABplppaapaa,156,4619,-20380,-100,-107,4619,18.6,376,349,25,227543
ABplppaapap:156,ABplppaapap,156,4772,-20227,-4,-31,4772,20.8,350,352,26,246068
ABplppaapp:107,ABplppaapp,107,4783,-20216,-42,-44,4783,14.9,296,347,31,253412
ABplppaappa:157,ABplppaappa,157,4826,-20173,42,51,4826,14.4,330,287,26,88330
ABplppaappp:157,ABplppaappp,157,4628,-20371,-205,-233,4628,11.7,291,289,22,97889
ABplppap:53,ABplppap,53,5790,-19209,-66,-28,5790,38.9,334,388,42,576393
ABplppapa:75,ABplppapa,75,5172,-19827,-89,-90,5172,30.8,310,388,37,513004
ABplppapaa:104,ABplppapaa,104,4860,-20139,-24,-19,4860,23.8,318,404,34,459339
ABplppapaaa:142,ABplppapaaa,142,4677,-20322,-46,-62,4677,19.1,324,372,28,244794
ABplppapaap:142,ABplppapaap,142,4838,-20161,-98,-73,4838,20.9,290,367,29,289063
ABplppapap:104,ABplppapap,104,5021,-19978,44,42,5021,22.5,271,390,35,517605
ABplppapapa:155,ABplppapapa,155,5455,-19544,439,430,5455,16.3,273,351,28,238103
ABplppapapp:155,ABplppapapp,155,5902,-19097,542,547,5902,21.4,234,348,28,270922
ABplppapp:75,ABplppapp,75,5173,-19826,-95,-95,5173,28.4,244,376,37,518539
ABplppappa:108,ABplppappa,108,4862,-20137,-54,-53,4862,19.0,272,375,33,387488
ABplppappaa:150,ABplppappaa,150,4666,-20333,-178,-277,4666,17.3,318,325,26,227257
ABplppappap:150,ABplppappap,150,4715,-20284,-135,-121,4715,14.2,291,333,30,282816
ABplppappp:108,ABplppappp,108,5005,-19994,9,19,5005,16.8,232,358,34,421590
ABplppapppa:160,ABplppapppa,160,5333,-19667,286,317,5333,11.8,274,315,28,215552
ABplppapppp:160,ABplppapppp,160,5275,-19724,175,139,5275,14.6,245,314,26,189832
ABplppp:34,ABplppp,34,6382,-18617,116,116,6382,36.5,236,388,50,1118885
ABplpppa:52,ABplpppa,52,5958,-19041,49,47,5958,37.1,301,404,43,625632
ABplpppaa:72,ABplpppaa,72,5213,-19786,-6,-10,5213,24.0,274,396,38,475598
ABplpppaaa:102,ABplpppaaa,102,4951,-20048,-21,-19,4951,14.0,263,354,32,264917
ABplpppaaaa:142,ABplpppaaaa,142,4847,-20152,5,33,4847,11.2,266,316,30,224594
ABplpppaaap:142,ABplpppaaap,142,5000,-19999,-206,-113,5000,13.3,225,329,29,250919
ABplpppaap:102,ABplpppaap,102,5144,-19855,37,73,5144,14.3,213,341,33,309844
ABplpppaapa:143,ABplpppaapa,143,6728,-18271,903,1080,6728,12.9,194,305,30,230449
ABplpppaapp:143,ABplpppaapp,143,6673,-18326,1340,1374,6673,13.2,163,310,29,322084
ABplpppap:72,ABplpppap,72,5375,-19624,52,69,5375,25.2,216,379,36,431666
ABplpppapa:103,ABplpppapa,103,6331,-18668,895,908,6331,13.1,197,313,33,253977
ABplpppapaa:134,ABplpppapaa,134,6905,-18094,1100,1182,6905,11.0,200,288,27,170944
ABplpppapap:134,ABplpppapap,134,6386,-18613,530,625,6386,12.5,206,237,27,26512
ABplpppapp:103,ABplpppapp,103,5804,-19195,189,296,5804,11.2,193,265,27,178705
ABplpppp:52,ABplpppp,52,5948,-19051,-43,-27,5948,33.7,232,390,44,641227
ABplppppa:72,ABplppppa,72,5184,-19815,-55,-60,5184,19.1,260,372,38,352117
ABplppppaa:99,ABplppppaa,99,4952,-20047,-79,-71,4952,14.5,284,325,31,223051
